"dose" "pigid" "litter" "sample1" "sample2"
"1" 9.3 "5522" 1 4.4 1.7
"2" 4.4 "5524" 1 1.9 0.73333333
"3" 6.2 "5525" 1 2.45 1.13333333
"4" 0 "5526" 1 0.45 0.26666667
"5" 4.4 "5530" 2 2.5 0.83333333
"6" 0 "5533" 2 0.5 0.23333333
"7" 9.3 "5534" 2 3.65 1.06666667
"8" 6.2 "5535" 2 2.55 1.26666667
"9" 4.4 "5562" 5 2.5 1.13333333
"10" 6.2 "5564" 5 3.55 1.6
"11" 9.3 "5565" 6 3.5 1.43333333
"12" 6.2 "5566" 6 NA 1.63333333
"13" 0 "5567" 5 0.45 0.2
"14" 0 "5570" 4 0.3 0.06666667
"15" 9.3 "5571" 4 4.7 1.86666667
"16" 6.2 "5573" 4 3.1 1.53333333
"17" 4.4 "5575" 4 2.5 1.06666667
"18" 0 "5587" 3 0.1 0.03333333
"19" 4.4 "5588" 3 1.75 0.65
"20" 6.2 "5589" 3 2.5 1.03333333
"21" 9.3 "5590" 3 3.7 1.36666667
"22" 4.4 "5661" 6 1.9 0.7
"23" 0 "5663" 6 0.3 0.1
"24" 6.2 "5664" 5 NA 1.8
"25" 9.3 "5665" 6 3 1.83333333
"26" 6.2 "5666" 6 2.45 NA
