"diam" "height" "species"
">4" ">4.75" "dist"
">4" ">4.75" "dist"
"<=4" "<=4.75" "anoli"
">4" "<=4.75" "anoli"
">4" "<=4.75" "dist"
"<=4" "<=4.75" "anoli"
"<=4" ">4.75" "anoli"
">4" "<=4.75" "anoli"
"<=4" ">4.75" "dist"
"<=4" "<=4.75" "anoli"
">4" ">4.75" "dist"
"<=4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "dist"
"<=4" ">4.75" "dist"
">4" "<=4.75" "anoli"
"<=4" ">4.75" "anoli"
"<=4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" ">4.75" "dist"
">4" ">4.75" "dist"
"<=4" "<=4.75" "anoli"
"<=4" ">4.75" "anoli"
"<=4" "<=4.75" "anoli"
"<=4" ">4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "dist"
"<=4" "<=4.75" "anoli"
"<=4" ">4.75" "dist"
"<=4" "<=4.75" "dist"
"<=4" ">4.75" "dist"
"<=4" "<=4.75" "dist"
">4" "<=4.75" "dist"
"<=4" ">4.75" "dist"
"<=4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "dist"
">4" ">4.75" "dist"
">4" ">4.75" "anoli"
">4" "<=4.75" "dist"
"<=4" ">4.75" "dist"
"<=4" "<=4.75" "anoli"
">4" "<=4.75" "anoli"
">4" ">4.75" "dist"
"<=4" "<=4.75" "anoli"
"<=4" ">4.75" "dist"
">4" "<=4.75" "dist"
">4" "<=4.75" "anoli"
">4" "<=4.75" "dist"
"<=4" ">4.75" "anoli"
"<=4" ">4.75" "anoli"
">4" ">4.75" "dist"
">4" ">4.75" "dist"
">4" "<=4.75" "dist"
"<=4" ">4.75" "dist"
"<=4" "<=4.75" "anoli"
"<=4" ">4.75" "anoli"
">4" ">4.75" "anoli"
"<=4" "<=4.75" "dist"
"<=4" "<=4.75" "anoli"
">4" "<=4.75" "dist"
">4" "<=4.75" "anoli"
"<=4" "<=4.75" "anoli"
">4" ">4.75" "dist"
"<=4" "<=4.75" "dist"
"<=4" "<=4.75" "dist"
"<=4" "<=4.75" "anoli"
">4" "<=4.75" "dist"
">4" "<=4.75" "anoli"
"<=4" "<=4.75" "anoli"
"<=4" "<=4.75" "anoli"
">4" "<=4.75" "dist"
"<=4" "<=4.75" "dist"
"<=4" "<=4.75" "dist"
"<=4" ">4.75" "anoli"
">4" ">4.75" "dist"
">4" "<=4.75" "dist"
"<=4" "<=4.75" "dist"
">4" "<=4.75" "anoli"
"<=4" ">4.75" "anoli"
"<=4" "<=4.75" "dist"
"<=4" ">4.75" "dist"
">4" "<=4.75" "anoli"
">4" "<=4.75" "anoli"
